row_index,base_value,predicted_value,model_prediction,additive_consistent,feature_name,feature_value,shap_value,direction
4,18.887224,38.33516673376465,38.32793426513672,True,demand_rolling_std_14,7.767571360159167,-0.10705240070819855,negative
5,18.887224,28.162910264038086,28.155689239501953,True,demand_lag_7,34.0,5.4880828857421875,positive
5,18.887224,28.162910264038086,28.155689239501953,True,demand_lag_14,38.0,4.648672580718994,positive
5,18.887224,28.162910264038086,28.155689239501953,True,demand_lag_28,33.0,3.7643721103668213,positive
5,18.887224,28.162910264038086,28.155689239501953,True,day_of_week,2.0,0.6257757544517517,positive
5,18.887224,28.162910264038086,28.155689239501953,True,inventory_lag_1,799.0,0.571488618850708,positive
5,18.887224,28.162910264038086,28.155689239501953,True,price_lag_1,139.16,0.31917378306388855,positive
5,18.887224,28.162910264038086,28.155689239501953,True,week_sin,-0.4647231720437684,0.27353546023368835,positive
5,18.887224,28.162910264038086,28.155689239501953,True,price,149.0,0.17266826331615448,positive
5,18.887224,28.162910264038086,28.155689239501953,True,log_competitor_price,4.9238420751266165,0.12841354310512543,positive
5,18.887224,28.162910264038086,28.155689239501953,True,demand_rolling_min_7,17.0,0.10376645624637604,positive
5,18.887224,28.162910264038086,28.155689239501953,True,demand_rolling_mean_7,27.857142857142858,-1.4954646825790405,negative
5,18.887224,28.162910264038086,28.155689239501953,True,log_price,5.003946305945459,-0.8277826309204102,negative
5,18.887224,28.162910264038086,28.155689239501953,True,demand_rolling_mean_28,28.214285714285715,-0.8107506036758423,negative
5,18.887224,28.162910264038086,28.155689239501953,True,revenue_lag_7,4664.8,-0.5113202929496765,negative
5,18.887224,28.162910264038086,28.155689239501953,True,price_to_cost_markup,1.6195652173913044,-0.4752662777900696,negative
5,18.887224,28.162910264038086,28.155689239501953,True,price_lag_14,134.67,-0.4045131504535675,negative
5,18.887224,28.162910264038086,28.155689239501953,True,demand_rolling_mean_14,28.5,-0.37851470708847046,negative
5,18.887224,28.162910264038086,28.155689239501953,True,price_rolling_mean_7,145.73142857142858,-0.350957989692688,negative
5,18.887224,28.162910264038086,28.155689239501953,True,demand_rolling_max_7,36.0,-0.21574920415878296,negative
5,18.887224,28.162910264038086,28.155689239501953,True,demand_rolling_max_14,38.0,-0.20466476678848267,negative
6,18.887224,20.5461355858078,20.53891372680664,True,demand_lag_7,25.0,4.471920967102051,positive
6,18.887224,20.5461355858078,20.53891372680664,True,day_of_week,0.0,0.8583296537399292,positive
6,18.887224,20.5461355858078,20.53891372680664,True,demand_lag_14,22.0,0.6429904699325562,positive
6,18.887224,20.5461355858078,20.53891372680664,True,week_sin,0.35460488704253584,0.2995400130748749,positive
6,18.887224,20.5461355858078,20.53891372680664,True,revenue_lag_7,3520.75,0.28185388445854187,positive
6,18.887224,20.5461355858078,20.53891372680664,True,demand_lag_28,19.0,0.17435932159423828,positive
6,18.887224,20.5461355858078,20.53891372680664,True,competitor_price,140.75,0.11252929270267487,positive
6,18.887224,20.5461355858078,20.53891372680664,True,price_lag_7,140.83,0.10086711496114731,positive
6,18.887224,20.5461355858078,20.53891372680664,True,inventory_lag_1,684.0,0.09970276057720184,positive
6,18.887224,20.5461355858078,20.53891372680664,True,unit_gross_margin_dollar,65.77000000000001,0.08445381373167038,positive
6,18.887224,20.5461355858078,20.53891372680664,True,log_price,5.061138276269363,-1.4935040473937988,negative
6,18.887224,20.5461355858078,20.53891372680664,True,demand_rolling_mean_28,20.0,-1.219144344329834,negative
6,18.887224,20.5461355858078,20.53891372680664,True,price_to_cost_markup,1.7148913043478262,-0.6425250768661499,negative
6,18.887224,20.5461355858078,20.53891372680664,True,demand_rolling_mean_7,21.714285714285715,-0.38993406295776367,negative
6,18.887224,20.5461355858078,20.53891372680664,True,week_cos,-0.9350162426854147,-0.25327441096305847,negative
6,18.887224,20.5461355858078,20.53891372680664,True,price_deviation_rolling_7,14.704285714285732,-0.25264617800712585,negative
6,18.887224,20.5461355858078,20.53891372680664,True,price_rolling_mean_7,143.06571428571428,-0.22926068305969238,negative
6,18.887224,20.5461355858078,20.53891372680664,True,demand_momentum_7_28,1.0857142857142859,-0.2234627604484558,negative
6,18.887224,20.5461355858078,20.53891372680664,True,demand_rolling_std_28,5.156800615943242,-0.14855952560901642,negative
6,18.887224,20.5461355858078,20.53891372680664,True,days_of_supply_proxy,32.88157894736842,-0.10521512478590012,negative
7,18.887224,21.020565312408447,21.013334274291992,True,demand_lag_7,23.0,3.578904151916504,positive
7,18.887224,21.020565312408447,21.013334274291992,True,demand_lag_28,22.0,0.965525209903717,positive
7,18.887224,21.020565312408447,21.013334274291992,True,day_of_week,1.0,0.5802931189537048,positive
7,18.887224,21.020565312408447,21.013334274291992,True,week_sin,6.432490598706546e-16,0.3239671587944031,positive
7,18.887224,21.020565312408447,21.013334274291992,True,price_deviation_rolling_7,-5.4614285714285415,0.2339261919260025,positive
7,18.887224,21.020565312408447,21.013334274291992,True,price_lag_7,357.79,0.1982223242521286,positive
7,18.887224,21.020565312408447,21.013334274291992,True,inventory_change_1d,418.0,0.1704297959804535,positive
7,18.887224,21.020565312408447,21.013334274291992,True,price_lag_14,393.03,0.15059137344360352,positive
7,18.887224,21.020565312408447,21.013334274291992,True,inventory_lag_1,161.0,0.13647401332855225,positive
7,18.887224,21.020565312408447,21.013334274291992,True,price_pct_change_1d,-6.657503858024693,0.13091541826725006,positive
7,18.887224,21.020565312408447,21.013334274291992,True,log_price,5.958708890367991,-1.8190499544143677,negative
7,18.887224,21.020565312408447,21.013334274291992,True,demand_rolling_mean_28,17.321428571428573,-1.498706579208374,negative
7,18.887224,21.020565312408447,21.013334274291992,True,price_to_cost_markup,1.720488888888889,-0.43439385294914246,negative
7,18.887224,21.020565312408447,21.013334274291992,True,revenue_lag_7,8229.17,-0.26368457078933716,negative
7,18.887224,21.020565312408447,21.013334274291992,True,demand_rolling_mean_7,17.428571428571427,-0.23294785618782043,negative
7,18.887224,21.020565312408447,21.013334274291992,True,price_lag_1,414.72,-0.20368173718452454,negative
7,18.887224,21.020565312408447,21.013334274291992,True,demand_lag_14,17.0,-0.14405450224876404,negative
7,18.887224,21.020565312408447,21.013334274291992,True,demand_rolling_std_7,5.028490259085148,-0.12631745636463165,negative
7,18.887224,21.020565312408447,21.013334274291992,True,unit_gross_margin_pct,41.87698586964946,-0.10473219305276871,negative
7,18.887224,21.020565312408447,21.013334274291992,True,demand_rolling_min_28,10.0,-0.08450384438037872,negative
8,18.887224,40.40636615087891,40.399139404296875,True,demand_lag_7,25.0,5.467737197875977,positive
8,18.887224,40.40636615087891,40.399139404296875,True,demand_lag_28,39.0,4.40165376663208,positive
8,18.887224,40.40636615087891,40.399139404296875,True,demand_lag_14,29.0,2.282097816467285,positive
8,18.887224,40.40636615087891,40.399139404296875,True,day_of_week,4.0,1.3738023042678833,positive
8,18.887224,40.40636615087891,40.399139404296875,True,days_of_supply_proxy,5.902702702702703,1.1374341249465942,positive
